stop_id,stop_name,latitude,longitude,nearest_library_km
3409,Parsons Road & 23 Avenue,53.452583,-113.478002,2.915315451334426
ODT-33344,17 Street & 19 Avenue,53.450096,-113.369274,0.8275707254637605
6309,Eaux Claires Transit Centre Bay I,53.618143,-113.489688,1.8031588246240349
E214,,53.570868,-113.458203,0.8719567785602249
6457,117 Street & 129 Avenue,53.587539,-113.523037,1.3223190873695818
2420,50 Street & 106 Avenue,53.551349,-113.417874,1.5760875628326476
5168,St Georges Crescent & 102 Avenue,53.542959,-113.554837,2.3154785843126926
5898,184 Street & 84 Avenue,53.517426,-113.640052,1.780370861560622
8060,Hope Road & Hemingway Road,53.488124,-113.677616,3.838342078245846
6098,112 Street & Castle Downs Road,53.62657,-113.513335,1.2254375846060421
5759,188 Street & 72 Avenue,53.505553,-113.648369,1.4925426567785365
5248,135 Street & 115 Avenue,53.564893,-113.554809,0.14122915633382346
4238,119 Street & Fairway Drive,53.4721,-113.538946,2.4539640832450806
ODT-7362,69 Street & 129 Avenue,53.58759,-113.447422,1.7665308699398496
A0233,Burnham Ave & Bellevue Cres,53.640893,-113.613815,7.012630048490545
3108,66 Street & 19 Avenue,53.449955,-113.435283,0.613914827714499
6592,St Albert Trail & 137 Avenue,53.599566,-113.577131,2.5124042945876788
3140,50 Street & Mill Woods Road S,53.44585,-113.420408,1.4148792578424045
1384,57 Street & 118 Avenue,53.570431,-113.429508,1.0297741015541912
5753,184 Street & 66 Avenue,53.500403,-113.639786,0.9840257718819982
33350,66 Street & 36A Avenue,53.470595,-113.439144,1.715586397086226
3979,Maple Road & Maple Way,53.476088,-113.353963,2.3385469150605096
9028,62 Street & 2 Avenue SW,53.429519,-113.435869,2.8870865555086773
7549,69 Street & 144 Avenue,53.605245,-113.447581,0.23443756164729518
4511,MacTaggart Crest & MacTaggart Drive,53.438117,-113.558866,3.691981486653315
9248,6056 Currents Drive E,53.436377,-113.599868,3.720390917282379
S5011,Main Blvd & Millers Rd,53.536278,-113.303806,6.96717926621152
7470,26 Street & 151 Avenue,53.612876,-113.378293,2.018418068738084
5996,178 Street & 64 Avenue,53.499074,-113.630349,0.5947097879091019
2149,92 Street & 93 Avenue,53.528683,-113.468422,0.831970427741594
2561,45 Street & 103 Avenue,53.544998,-113.411205,1.4992535032072423
A0971,St. Albert Centre Exchange,53.640453,-113.62348,7.585296191521391
5374,156 Street & 114 Avenue,53.563084,-113.58983,2.3842583034838185
ODT-5626,Westridge Road E & Wolf Willow Road,53.507088,-113.604874,1.4542962612246817
3311,17 Street & Silver Berry Road,53.463125,-113.368936,0.6332092332465625
5381,178 Street & 89 Avenue,53.523448,-113.630277,2.2077008664040165
4119,Rabbit Hill Road & Magrath Boulevard,53.448878,-113.565697,2.4816885426484863
7467,46 Street & 137 Avenue,53.597124,-113.408387,0.6388983734493288
L0359,36 Avenue & 8 Street,53.383288,-113.513503,3.1324228301473256
A0015,SWC Ave & Grandin Village I,53.619865,-113.642105,7.365927370333189
9607,162 Street & Glenridding Boulevard SW,53.420857,-113.601198,4.4851798851459765
QUNI,University Station,53.525145,-113.521555,1.7177522995751284
1015,Wayne Gretzky Drive S & 118 Avenue,53.570463,-113.454492,0.6256575021076001
3573,Jefferson Road & Jackson Road,53.484395,-113.405007,3.7664303298761617
6007,Castle Downs Transit Centre Bay G,53.61678,-113.516644,0.11624161810569618
Q4169,DL MacDonald Platform,53.595157,-113.422105,1.5101081832379695
9046,66 Street & 2 Avenue SW,53.4305,-113.442715,2.830920179907898
88152,Granville Link & Gourlay Close,53.501953,-113.681971,2.585689675945207
S7506,Clover Bar Rd & Summerwood Blvd,53.561166,-113.273104,7.867878320453847
22659,75 Street & 86 Avenue,53.520762,-113.443052,1.1248103399720215
5849,184 Street & 69 Avenue,53.50255,-113.639793,0.9203779640830334
2788,108 Street & 82 Avenue,53.518206,-113.509737,0.8248279732504582
